id;transaction_date;quantity_sold;start_of_day;waste;waste_percentage;sales_outlet_id;product_id
82;08.02.2020;20;52;32;38;192;3042
83;13.12.2019;31;38;7;81;1684;697
84;10.06.2019;89;103;14;86;687;3134
85;18.05.2019;12;36;24;33;4345;1196
86;19.03.2020;9;28;19;32;1575;856
87;11.08.2019;65;83;18;78;4631;3893
88;08.04.2019;41;72;31;56;270;2214
89;05.04.2019;56;93;37;60;1474;102
90;31.12.2019;21;53;32;39;1523;4546
91;05.04.2019;54;60;6;90;3287;4080
92;11.04.2019;77;107;30;71;4852;3102
93;24.07.2019;2;37;35;5;378;2004
94;21.10.2019;82;89;7;92;4902;3246
95;19.01.2020;78;110;32;70;1887;2223
96;01.01.2020;67;73;6;91;4839;1180
97;01.02.2020;70;102;32;68;2013;1101
98;20.11.2019;38;78;40;48;1851;1650
99;20.03.2020;17;56;39;30;4738;2568
100;28.03.2020;91;99;8;91;1945;2345
101;14.01.2020;61;86;25;70;2858;2432
102;10.05.2019;97;104;7;93;1907;4507
103;16.06.2019;73;100;27;73;2249;3946
104;14.06.2019;66;86;20;76;1383;3703
105;31.01.2020;31;33;2;93;1353;1175
106;26.09.2019;12;31;19;38;6;4942
107;31.05.2019;70;86;16;81;3284;3597
108;03.11.2019;32;71;39;45;1923;3777
109;02.07.2019;33;41;8;80;2812;124
110;01.01.2020;46;77;31;59;107;4388
111;31.07.2019;68;102;34;66;4427;260
112;07.06.2019;8;26;18;30;4676;4076
113;10.05.2019;16;36;20;44;1617;4496
114;17.09.2019;51;77;26;66;307;779
115;19.11.2019;14;35;21;40;2913;363
116;20.10.2019;98;129;31;75;4680;706
117;13.01.2020;64;76;12;84;762;4603
118;08.12.2019;26;47;21;55;2544;1734
119;31.03.2019;98;118;20;83;3830;4689
120;05.12.2019;95;135;40;70;832;786
121;18.06.2019;57;86;29;66;32;3369
122;09.01.2020;34;48;14;70;2435;2702
123;25.03.2020;14;32;18;43;3710;214
124;06.09.2019;59;60;1;98;3936;4357
125;03.07.2019;89;105;16;84;729;3782
126;03.05.2019;82;100;18;82;1957;1661
127;24.11.2019;63;101;38;62;3315;4921
128;15.04.2019;44;64;20;68;889;4396
129;24.11.2019;46;50;4;92;3597;3344
130;22.08.2019;18;28;10;64;4500;112
131;18.12.2019;100;111;11;90;2089;4642
132;25.06.2019;8;29;21;27;3476;878
133;10.02.2020;6;24;18;25;2972;2868
134;24.09.2019;6;11;5;54;1419;2337
135;30.07.2019;94;125;31;75;2904;3652
136;08.04.2019;67;91;24;73;449;1855
137;06.07.2019;52;61;9;85;3372;3091
138;14.12.2019;10;28;18;35;1417;2034
139;07.06.2019;92;108;16;85;3059;1380
140;12.03.2020;5;10;5;50;48;1085
141;14.12.2019;91;105;14;86;728;1910
142;26.06.2019;27;65;38;41;2379;4082
143;19.07.2019;52;61;9;85;4622;867
144;11.09.2019;37;39;2;94;1466;3677
145;16.01.2020;3;25;22;12;2921;187
146;15.05.2019;1;26;25;3;4665;4508
147;21.07.2019;97;108;11;89;3360;3103
148;14.01.2020;89;118;29;75;3815;2790
149;04.03.2020;9;10;1;90;433;4248
150;16.10.2019;34;40;6;85;2269;2835
151;26.01.2020;82;84;2;97;790;3958
152;11.12.2019;55;87;32;63;1566;309
153;08.06.2019;55;89;34;61;2370;1861
154;23.03.2020;41;57;16;71;4531;2165
155;06.05.2019;36;59;23;61;4766;1504
156;25.10.2019;93;122;29;76;4591;4850
157;11.08.2019;28;34;6;82;774;1359
158;27.10.2019;88;124;36;70;115;4436
159;18.09.2019;25;50;25;50;4616;4195
160;26.06.2019;53;68;15;77;3556;2373
161;13.04.2019;60;97;37;61;3094;4478
162;20.12.2019;93;132;39;70;1343;1492
163;03.12.2019;53;85;32;62;3722;2416
164;11.06.2019;4;31;27;12;434;181
165;09.11.2019;56;81;25;69;3112;104
166;15.08.2019;48;55;7;87;4781;1204
167;04.12.2019;47;55;8;85;1268;2356
168;13.07.2019;40;44;4;90;2763;556
169;01.05.2019;35;54;19;64;1108;1318
170;15.10.2019;80;103;23;77;1294;1444
171;01.08.2019;90;101;11;89;4983;1049
172;01.04.2019;66;84;18;78;2272;3492
173;14.11.2019;25;58;33;43;2861;2168
174;17.05.2019;72;76;4;94;729;2935
175;06.03.2020;3;41;38;7;237;2825
176;09.03.2020;16;50;34;32;221;1918
177;20.08.2019;77;105;28;73;2078;4182
178;19.09.2019;65;95;30;68;3021;3216
179;28.02.2020;10;22;12;45;4125;518
180;10.04.2019;2;32;30;6;2691;395
181;11.09.2019;61;69;8;88;2291;108
182;25.09.2019;18;44;26;40;1956;4586
183;20.10.2019;100;104;4;96;502;4908
184;13.09.2019;61;64;3;95;240;3895
185;28.08.2019;23;24;1;95;3611;1244
186;03.08.2019;41;71;30;57;3969;3694
187;27.12.2019;32;50;18;64;1373;3259
188;26.07.2019;95;122;27;77;1102;3032
189;25.06.2019;10;40;30;25;3385;653
190;05.01.2020;58;80;22;72;4455;3225
191;01.11.2019;60;61;1;98;380;2270
192;26.04.2019;31;65;34;47;4706;4687
193;26.07.2019;51;60;9;85;2894;1591
194;28.06.2019;65;87;22;74;2750;4145
195;11.07.2019;72;87;15;82;4990;3188
196;19.11.2019;84;88;4;95;2013;1370
197;24.12.2019;95;120;25;79;1642;952
198;30.09.2019;93;125;32;74;3539;4854
199;10.08.2019;34;48;14;70;3163;3846
200;28.10.2019;83;102;19;81;755;1943
201;30.04.2019;85;120;35;70;4455;594
202;06.12.2019;45;76;31;59;3322;308
203;10.08.2019;47;86;39;54;1215;3558
204;27.01.2020;99;138;39;71;4115;3278
205;18.09.2019;39;43;4;90;757;2115
206;06.05.2019;78;86;8;90;391;2482
207;26.10.2019;42;63;21;66;3668;103
208;03.05.2019;83;95;12;87;3593;954
209;09.06.2019;79;105;26;75;1702;4575
210;01.09.2019;66;105;39;62;1481;4295
211;27.10.2019;46;67;21;68;1595;4679
212;28.12.2019;39;69;30;56;1571;3737
213;26.12.2019;79;100;21;79;4319;3848
214;08.03.2020;35;72;37;48;51;434
215;29.01.2020;65;87;22;74;2376;4603
216;28.08.2019;84;112;28;75;4678;184
217;13.02.2020;81;118;37;68;1261;3418
218;05.12.2019;48;81;33;59;3917;4627
219;23.11.2019;35;40;5;87;1119;3183
220;15.11.2019;58;75;17;77;4163;1949
221;25.01.2020;16;24;8;66;2450;73
222;13.04.2019;95;104;9;91;301;3818
223;13.07.2019;45;47;2;95;1974;4901
224;16.05.2019;67;92;25;72;2334;3731
225;19.11.2019;37;51;14;72;1025;651
226;08.07.2019;69;87;18;79;1930;3515
227;24.12.2019;25;47;22;53;3632;124
228;08.10.2019;86;125;39;68;3245;4578
229;29.04.2019;47;55;8;85;2520;633
230;14.03.2020;97;101;4;96;2936;3482
231;06.02.2020;92;109;17;84;108;4904
232;15.04.2019;12;43;31;27;1020;3597
233;22.12.2019;39;73;34;53;1069;1099
234;24.08.2019;51;74;23;68;248;1845
235;21.08.2019;31;48;17;64;3616;3411
236;15.09.2019;74;76;2;97;4007;2406
237;11.09.2019;39;58;19;67;1405;1376
238;26.11.2019;67;74;7;90;2419;126
239;31.05.2019;50;59;9;84;4682;3593
240;19.08.2019;73;104;31;70;3710;2134
241;22.08.2019;61;81;20;75;3406;209
242;10.07.2019;77;83;6;92;3357;2081
243;02.01.2020;24;39;15;61;3997;2817
244;10.07.2019;39;40;1;97;1579;2133
245;02.02.2020;100;119;19;84;2120;4157
246;25.01.2020;12;51;39;23;4884;4427
247;28.03.2020;97;105;8;92;815;1065
248;03.04.2019;84;94;10;89;1807;3846
249;26.12.2019;46;58;12;79;4199;4781
250;15.07.2019;29;60;31;48;4667;3624
251;14.03.2020;82;85;3;96;849;1588
252;26.04.2019;89;108;19;82;2669;574
253;30.11.2019;83;117;34;70;3608;3111
254;10.01.2020;23;44;21;52;4936;190
255;24.07.2019;16;27;11;59;4751;2230
256;14.03.2020;32;59;27;54;2405;3190
257;27.11.2019;73;75;2;97;2067;4065
258;01.08.2019;88;95;7;92;3366;3186
259;31.03.2019;33;38;5;86;550;4265
260;12.12.2019;39;51;12;76;740;326
261;05.04.2019;69;82;13;84;31;3687
262;07.12.2019;8;21;13;38;3608;4370
263;18.12.2019;58;86;28;67;103;318
264;18.10.2019;81;106;25;76;4024;1390
265;28.12.2019;67;106;39;63;4579;3636
266;27.07.2019;80;114;34;70;167;82
267;29.09.2019;98;104;6;94;1675;4453
268;10.11.2019;96;131;35;73;3649;3888
269;19.04.2019;9;41;32;21;1811;3936
270;28.05.2019;54;90;36;60;694;150
271;12.03.2020;52;88;36;59;4641;1942
272;30.05.2019;99;127;28;77;459;2862
273;04.04.2019;13;34;21;38;4716;4465
274;13.10.2019;87;123;36;70;1958;4232
275;15.04.2019;18;44;26;40;2693;2377
276;08.02.2020;10;21;11;47;198;2287
277;05.06.2019;65;73;8;89;2801;2154
278;17.08.2019;70;91;21;76;4201;1288
279;11.01.2020;42;45;3;93;1179;3989
280;08.04.2019;20;21;1;95;709;1184
281;18.09.2019;37;74;37;50;215;2981
282;23.07.2019;58;96;38;60;730;4200
283;26.05.2019;78;111;33;70;1019;794
284;04.11.2019;76;116;40;65;4529;4342
285;14.12.2019;55;80;25;68;2371;3810
286;25.04.2019;94;111;17;84;144;4263
287;21.10.2019;54;56;2;96;153;3485
288;01.09.2019;82;94;12;87;600;3081
289;13.02.2020;35;58;23;60;3620;1025
290;29.12.2019;28;55;27;50;3043;4777
291;18.09.2019;34;47;13;72;2363;4534
292;30.01.2020;73;109;36;66;1795;1839
293;06.05.2019;15;31;16;48;3607;4901
294;04.09.2019;73;98;25;74;3732;3242
295;28.11.2019;77;105;28;73;1330;64
296;15.02.2020;11;12;1;91;1983;3593
297;19.03.2020;49;74;25;66;2536;869
298;27.03.2020;84;97;13;86;3533;3562
299;17.02.2020;54;82;28;65;4229;422
300;19.02.2020;24;55;31;43;243;2652
301;21.05.2019;11;43;32;25;4092;3163
302;03.11.2019;2;4;2;50;1539;3114
303;18.01.2020;17;25;8;68;3100;791
304;10.01.2020;70;81;11;86;4671;2021
305;22.05.2019;100;115;15;86;1206;3604
306;18.02.2020;3;15;12;20;4435;1982
307;21.03.2020;5;12;7;41;1289;623
308;24.06.2019;57;76;19;75;1851;4613
309;14.01.2020;74;86;12;86;900;25
310;20.07.2019;96;121;25;79;24;3394
311;14.07.2019;79;95;16;83;4521;357
312;31.10.2019;24;41;17;58;1727;4367
313;04.05.2019;46;63;17;73;3916;3133
314;12.06.2019;43;50;7;86;3935;4058
315;23.06.2019;17;20;3;85;2226;329
316;24.12.2019;59;60;1;98;2561;1250
317;03.07.2019;3;5;2;60;2418;1165
318;23.08.2019;22;59;37;37;3449;3414
319;17.06.2019;10;39;29;25;1616;3491
320;13.03.2020;27;45;18;60;2117;953
321;14.08.2019;45;55;10;81;659;2381
322;10.05.2019;98;122;24;80;2565;2899
323;02.10.2019;59;97;38;60;1901;4717
324;19.02.2020;1;20;19;5;940;3283
325;06.04.2019;78;110;32;70;2974;1919
326;12.11.2019;9;47;38;19;2064;1965
327;02.07.2019;44;71;27;61;4130;26
328;30.11.2019;95;129;34;73;4494;3190
329;14.05.2019;97;123;26;78;1325;4827
330;26.06.2019;15;37;22;40;1537;2724
331;06.02.2020;49;69;20;71;1953;472
332;16.03.2020;48;63;15;76;4005;2099
333;09.04.2019;61;96;35;63;3429;2854
334;01.05.2019;98;128;30;76;3429;1574
335;24.09.2019;39;58;19;67;513;542
336;06.07.2019;36;55;19;65;809;907
337;19.07.2019;13;38;25;34;984;450
338;23.09.2019;57;77;20;74;463;4320
339;19.03.2020;47;68;21;69;3206;3887
340;08.12.2019;59;74;15;79;2651;29
341;21.09.2019;14;46;32;30;3307;3451
342;08.11.2019;99;119;20;83;1719;39
343;05.08.2019;93;131;38;70;1157;1069
344;18.04.2019;34;45;11;75;3428;934
345;14.09.2019;74;77;3;96;865;166
346;05.03.2020;9;38;29;23;60;2391
347;20.09.2019;41;44;3;93;4801;2281
348;14.07.2019;73;80;7;91;1168;1597
349;05.11.2019;9;15;6;60;1893;1479
350;15.08.2019;83;90;7;92;3104;3916
351;21.02.2020;74;80;6;92;1360;1707
352;19.03.2020;62;99;37;62;4355;1281
353;01.03.2020;25;35;10;71;2901;4564
354;08.10.2019;67;73;6;91;3588;3772
355;07.04.2019;4;16;12;25;503;2812
356;06.08.2019;76;96;20;79;4413;4289
357;08.05.2019;64;85;21;75;51;3896
358;07.05.2019;40;63;23;63;3793;3134
359;02.08.2019;40;59;19;67;3818;1309
360;09.04.2019;24;57;33;42;4498;2747
361;25.03.2020;79;88;9;89;2702;2280
362;13.03.2020;63;94;31;67;2679;654
363;21.01.2020;22;57;35;38;1174;3326
364;14.05.2019;52;71;19;73;4274;1968
365;20.06.2019;71;73;2;97;1598;3135
366;13.01.2020;8;30;22;26;3967;4606
367;29.05.2019;74;109;35;67;139;3169
368;09.01.2020;77;100;23;77;4535;190
369;05.05.2019;64;90;26;71;4189;593
370;05.03.2020;9;36;27;25;1974;1518
371;26.01.2020;86;111;25;77;538;1644
372;27.08.2019;79;100;21;79;1633;1105
373;05.06.2019;56;78;22;71;4627;4353
374;20.02.2020;72;111;39;64;2118;3307
375;11.08.2019;14;34;20;41;3737;3370
376;17.03.2020;54;94;40;57;2501;1333
377;20.02.2020;48;60;12;80;581;3386
378;21.08.2019;3;41;38;7;2811;1240
379;26.11.2019;67;107;40;62;3271;2362
380;04.01.2020;87;88;1;98;504;500
381;25.11.2019;27;59;32;45;916;1688
382;17.02.2020;79;98;19;80;2965;2988
383;09.01.2020;26;51;25;50;285;2972
384;16.07.2019;4;17;13;23;814;4005
385;16.08.2019;59;68;9;86;3481;3368
386;01.11.2019;52;63;11;82;154;2888
387;11.11.2019;61;68;7;89;921;3252
388;22.08.2019;1;34;33;2;3975;4803
389;17.03.2020;16;45;29;35;2;1765
390;08.02.2020;24;32;8;75;4086;3379
391;13.05.2019;95;106;11;89;2038;4593
392;20.06.2019;6;26;20;23;3120;3362
393;18.12.2019;57;69;12;82;3987;218
394;08.11.2019;94;120;26;78;2784;1888
395;26.12.2019;14;27;13;51;6;4340
396;07.01.2020;44;71;27;61;993;3993
397;04.10.2019;17;43;26;39;3517;1442
398;15.02.2020;86;104;18;82;2585;2094
399;22.11.2019;50;78;28;64;285;1926
400;23.07.2019;13;26;13;50;4007;4028
401;24.11.2019;23;53;30;43;4595;3143
402;20.11.2019;45;82;37;54;4434;3670
403;14.04.2019;32;39;7;82;3775;105
404;19.02.2020;31;42;11;73;1434;3615
405;25.04.2019;1;14;13;7;2008;4011
406;24.02.2020;4;27;23;14;1330;2613
407;21.04.2019;28;44;16;63;1154;3688
408;03.12.2019;21;40;19;52;2153;4310
409;17.07.2019;96;97;1;98;1551;447
410;28.04.2019;31;65;34;47;4074;4804
411;24.01.2020;25;57;32;43;109;3228
412;12.10.2019;14;36;22;38;280;2328
413;28.05.2019;59;63;4;93;2856;77
414;09.10.2019;17;42;25;40;4268;1905
415;03.11.2019;88;93;5;94;4295;4002
416;24.01.2020;85;92;7;92;4033;3416
417;31.10.2019;8;26;18;30;4196;158
418;17.08.2019;49;52;3;94;1665;1795
419;23.12.2019;37;58;21;63;3231;2270
420;04.03.2020;62;76;14;81;4679;2735
421;20.04.2019;56;68;12;82;2040;2734
422;25.09.2019;93;108;15;86;4618;663
423;05.11.2019;45;81;36;55;3408;3317
424;11.03.2020;69;93;24;74;2427;4503
425;13.02.2020;60;65;5;92;2416;2928
426;08.09.2019;43;51;8;84;4797;786
427;16.12.2019;92;122;30;75;4453;4264
428;20.01.2020;69;99;30;69;3237;4393
429;26.04.2019;57;76;19;75;3012;2382
430;23.07.2019;52;83;31;62;1296;3894
431;02.01.2020;14;54;40;25;4458;255
432;20.05.2019;62;102;40;60;52;4038
433;21.03.2020;40;45;5;88;891;3745
434;09.08.2019;62;97;35;63;366;1636
435;09.04.2019;30;62;32;48;4661;3389
436;30.07.2019;72;89;17;80;3947;2764
437;15.09.2019;54;85;31;63;4314;3220
438;28.09.2019;18;30;12;60;828;2606
439;08.01.2020;30;40;10;75;637;3706
440;10.09.2019;19;30;11;63;4793;2321
441;19.12.2019;69;80;11;86;4253;1263
442;18.08.2019;64;81;17;79;3202;2828
443;18.05.2019;82;113;31;72;2566;3058
444;15.02.2020;54;85;31;63;2473;1628
445;21.11.2019;77;82;5;93;1709;1281
446;11.06.2019;69;96;27;71;294;2972
447;08.01.2020;36;52;16;69;1487;2262
448;18.12.2019;3;21;18;14;1257;743
449;30.06.2019;95;134;39;70;228;2761
450;28.12.2019;68;78;10;87;4197;275
451;22.03.2020;86;110;24;78;1866;3330
452;07.03.2020;96;122;26;78;659;2549
453;25.12.2019;69;96;27;71;1411;4261
454;26.10.2019;71;107;36;66;2615;4652
455;08.10.2019;44;57;13;77;2700;1998
456;11.09.2019;54;58;4;93;1812;4927
457;21.10.2019;14;46;32;30;3132;2199
458;29.10.2019;34;60;26;56;3326;2583
459;13.10.2019;8;17;9;47;1967;3468
460;21.02.2020;12;51;39;23;3868;3502
461;08.05.2019;72;93;21;77;4296;2843
462;04.02.2020;44;64;20;68;4221;2455
463;15.04.2019;77;100;23;77;1189;541
464;08.11.2019;25;50;25;50;2543;3718
465;19.01.2020;97;121;24;80;2757;3450
466;25.08.2019;61;69;8;88;1535;721
467;17.05.2019;95;101;6;94;3176;4463
468;27.05.2019;49;54;5;90;3900;1669
469;25.03.2020;43;48;5;89;4185;2371
470;03.06.2019;9;23;14;39;278;1692
471;13.04.2019;90;129;39;69;2294;2362
472;19.11.2019;96;128;32;75;3417;1506
473;25.07.2019;77;107;30;71;2593;28
474;22.11.2019;64;96;32;66;1030;1449
475;31.05.2019;9;14;5;64;1283;2152
476;20.09.2019;99;128;29;77;1753;980
477;24.06.2019;100;108;8;92;2926;1502
478;20.06.2019;43;74;31;58;1954;647
479;08.04.2019;67;92;25;72;423;3442
480;24.04.2019;20;46;26;43;2891;1510
481;13.10.2019;8;19;11;42;82;3601
482;11.01.2020;89;121;32;73;1251;625
483;19.11.2019;72;106;34;67;3136;477
484;09.02.2020;70;78;8;89;515;1994
485;09.05.2019;73;107;34;68;4610;2797
486;26.02.2020;81;107;26;75;2415;242
487;06.06.2019;88;116;28;75;1879;326
488;05.12.2019;16;33;17;48;4191;2359
489;23.04.2019;8;32;24;25;3328;1536
490;07.02.2020;72;78;6;92;2554;794
491;25.05.2019;62;68;6;91;3040;1181
492;27.01.2020;86;124;38;69;246;846
493;12.10.2019;26;66;40;39;4155;4466
494;21.11.2019;72;80;8;90;1923;4616
495;25.05.2019;96;106;10;90;2221;4822
496;17.04.2019;49;74;25;66;2568;3922
497;30.12.2019;70;98;28;71;3607;2445
498;14.07.2019;73;111;38;65;2989;4266
499;14.02.2020;94;103;9;91;3700;1595
500;29.04.2019;68;103;35;66;2494;3806
501;09.04.2019;83;89;6;93;3732;4215
502;31.07.2019;20;36;16;55;1436;249
503;27.03.2020;84;89;5;94;4601;313
504;23.11.2019;45;84;39;53;4582;3869
505;03.09.2019;14;46;32;30;3015;3249
506;21.01.2020;87;125;38;69;4549;3238
507;19.03.2020;78;117;39;66;1904;4684
508;15.09.2019;73;84;11;86;4036;2061
509;28.10.2019;51;67;16;76;344;3496
510;27.08.2019;72;112;40;64;2245;2979
511;13.11.2019;17;51;34;33;117;954
512;06.02.2020;41;69;28;59;524;2972
513;01.07.2019;57;92;35;61;4809;4806
514;19.06.2019;20;22;2;90;3657;687
515;30.10.2019;31;36;5;86;4825;3768
516;23.03.2020;51;73;22;69;1940;4344
517;06.11.2019;33;67;34;49;727;919
518;26.04.2019;61;70;9;87;1210;983
519;07.08.2019;16;18;2;88;884;2720
520;13.05.2019;27;29;2;93;2489;2667
521;14.06.2019;3;5;2;60;2666;1611
522;15.10.2019;7;32;25;21;3902;1929
523;10.07.2019;89;96;7;92;4739;3199
524;02.11.2019;52;77;25;67;825;4839
525;24.01.2020;11;36;25;30;118;4481
526;17.10.2019;26;31;5;83;2114;341
527;02.02.2020;54;78;24;69;2457;1180
528;31.08.2019;7;12;5;58;3964;3737
529;11.08.2019;23;60;37;38;2914;242
530;24.05.2019;62;100;38;62;963;1816
531;06.08.2019;44;67;23;65;2806;502
532;07.09.2019;49;70;21;70;4570;1241
533;19.12.2019;38;58;20;65;1747;2967
534;09.12.2019;32;66;34;48;3755;3946
535;14.06.2019;76;99;23;76;868;4643
536;13.06.2019;98;112;14;87;2006;2492
537;21.07.2019;67;75;8;89;429;1348
538;20.07.2019;97;105;8;92;2166;1267
539;05.09.2019;73;89;16;82;2057;1134
540;05.03.2020;32;66;34;48;2815;1296
541;21.08.2019;86;117;31;73;4952;928
542;21.04.2019;44;80;36;55;1739;102
543;08.06.2019;96;122;26;78;3492;1942
544;10.08.2019;80;116;36;68;2035;2553
545;17.12.2019;70;77;7;90;3679;4906
546;26.07.2019;16;19;3;84;1542;2694
547;06.04.2019;50;63;13;79;258;2836
548;28.06.2019;53;89;36;59;4298;2208
549;14.12.2019;5;28;23;17;408;2713
550;10.12.2019;5;38;33;13;1463;2542
551;03.07.2019;50;89;39;56;4235;668
552;02.12.2019;60;70;10;85;3007;974
553;06.10.2019;77;81;4;95;1233;3372
554;18.07.2019;83;96;13;86;3336;4152
555;28.07.2019;28;36;8;77;679;3867
556;29.08.2019;7;26;19;26;4533;2246
557;25.08.2019;18;32;14;56;2070;1333
558;21.02.2020;25;35;10;71;4617;3020
559;18.03.2020;11;44;33;25;3837;2364
560;21.11.2019;72;94;22;76;601;3581
561;17.01.2020;40;51;11;78;4323;694
562;08.02.2020;62;90;28;68;1804;3078
563;16.02.2020;6;42;36;14;1673;168
564;02.02.2020;37;63;26;58;3801;4030
565;03.10.2019;89;129;40;68;4668;951
566;11.04.2019;14;42;28;33;1813;322
567;16.01.2020;79;115;36;68;2799;3137
568;16.06.2019;86;89;3;96;21;3921
569;22.05.2019;90;118;28;76;2720;2837
570;05.10.2019;65;76;11;85;2953;3790
571;09.05.2019;28;52;24;53;3946;4583
572;02.11.2019;13;30;17;43;2059;4719
573;30.09.2019;52;76;24;68;2637;2368
574;19.09.2019;44;69;25;63;1301;4275
575;16.01.2020;67;68;1;98;193;2601
576;21.08.2019;6;31;25;19;3272;3914
577;15.05.2019;87;92;5;94;4319;223
578;03.08.2019;96;108;12;88;4088;2193
579;23.10.2019;11;50;39;22;2408;4851
580;23.08.2019;43;48;5;89;1998;4850
581;18.06.2019;9;32;23;28;1569;3465
582;02.05.2019;42;79;37;53;1674;4869
583;24.01.2020;20;35;15;57;3159;1784
584;12.08.2019;56;77;21;72;1519;2117
585;31.08.2019;1;18;17;5;2573;1731
586;28.10.2019;70;79;9;88;2841;2692
587;08.04.2019;62;65;3;95;1411;3705
588;11.09.2019;97;119;22;81;2913;2366
589;21.05.2019;93;110;17;84;4109;4148
590;02.10.2019;99;117;18;84;731;563
591;02.11.2019;31;63;32;49;514;2068
592;16.04.2019;42;69;27;60;2318;3975
593;01.05.2019;47;69;22;68;3095;111
594;11.02.2020;87;90;3;96;482;1674
595;18.03.2020;8;17;9;47;1187;2235
596;09.01.2020;52;56;4;92;4556;3620
597;07.06.2019;58;93;35;62;1599;4714
598;16.06.2019;33;64;31;51;2293;1533
599;26.09.2019;14;20;6;70;2062;1217
600;30.08.2019;74;98;24;75;2173;1827
601;21.08.2019;18;46;28;39;33;1772
602;08.07.2019;70;107;37;65;1633;2349
603;11.01.2020;65;90;25;72;22;1459
604;08.10.2019;35;60;25;58;1607;1336
605;12.09.2019;61;64;3;95;2725;1124
606;11.06.2019;83;92;9;90;2398;2845
607;04.11.2019;38;72;34;52;54;715
608;29.05.2019;78;94;16;82;167;1222
609;12.11.2019;73;79;6;92;3715;705
610;14.06.2019;76;79;3;96;3948;2264
611;03.11.2019;90;124;34;72;1659;3182
612;28.11.2019;12;47;35;25;3088;1132
613;02.11.2019;49;55;6;89;1864;2535
614;13.09.2019;20;33;13;60;4838;2179
615;10.05.2019;40;79;39;50;2710;2303
616;30.11.2019;48;79;31;60;941;1711
