id;square_feet;address;city;province;telephone;postal_code;longitude;latitude;sales_outlet_type_id;manager_staff_id
24;1886;38 Sauthoff Street;Vancouver;WA;360-474-5792;98664;-122,5767;45,6231;2;2789
25;1337;3 Golf Course Alley;Greeley;CO;970-263-9414;80638;-104,315;40,5009;2;2203
26;2350;526 Londonderry Street;Gatesville;TX;254-655-4429;76598;-97,7993;31,3902;2;2464
27;2784;249 Carpenter Hill;South Bend;IN;574-483-5420;46620;-86,293;41,5968;2;2900
28;3193;5 Forest Court;Littleton;CO;720-272-6309;80161;-104,4083;39,7388;2;2296
29;1717;08954 Iowa Drive;Los Angeles;CA;323-549-8272;90065;-118,2266;34,1073;2;2218
30;1212;3485 Johnson Alley;Irving;TX;214-553-9699;75037;-96,7776;32,7673;2;1186
31;1754;23919 Carberry Street;Toledo;OH;419-894-0776;43666;-83,4972;41,6782;1;3768
32;3030;18 American Ash Drive;Brooksville;FL;352-711-5268;34605;-82,4226;28,5059;2;4001
33;3044;6121 Rockefeller Circle;Philadelphia;PA;215-653-3562;19093;-75,1179;40,0018;2;985
34;2901;58652 Mifflin Drive;San Bernardino;CA;760-496-0670;92415;-115,9671;34,84;2;1902
35;3320;92 Quincy Avenue;Richmond;VA;757-257-6053;23225;-77,5047;37,5158;1;2960
36;3396;10097 Toban Crossing;Odessa;TX;432-560-3247;79764;-102,4375;31,8767;1;4656
37;1240;89 Armistice Court;Knoxville;TN;865-719-9075;37939;-83,9622;35,9901;2;2307
38;1570;6 Graedel Terrace;Wilmington;DE;302-407-7081;19805;-75,5827;39,7434;2;4517
39;2526;93727 Carioca Crossing;Sioux Falls;SD;605-373-3758;57198;-96,7913;43,6746;2;2804
40;3931;415 Southridge Junction;Spokane;WA;509-330-3669;99215;-117,4317;47,6536;1;3039
41;3816;72093 Meadow Valley Street;Sarasota;FL;941-437-6315;34238;-82,4751;27,2427;1;1143
42;2447;666 Truax Center;Paterson;NJ;973-617-8423;07522;-74,1781;40,9252;1;754
43;2856;0 Westridge Center;South Lake Tahoe;CA;530-547-9656;96154;-120,0188;38,8753;2;4296
44;1961;702 Judy Drive;Tulsa;OK;918-807-1117;74108;-95,7923;36,1499;2;4615
45;2015;85 Melody Center;Scranton;PA;570-218-5500;18505;-75,6657;41,3914;2;2196
46;1729;6937 Fuller Place;Cincinnati;OH;513-152-7988;45271;-84,5382;39,1668;2;1374
47;2481;9066 Commercial Drive;Houston;TX;713-895-3548;77299;-95,4342;29,834;1;1212
48;3753;723 Pankratz Parkway;Petaluma;CA;707-552-6832;94975;-122,99;38,4631;2;892
49;1270;99 Stone Corner Parkway;Orlando;FL;954-695-2135;32825;-81,2571;28,5469;2;3144
50;1214;22 Northland Parkway;Jamaica;NY;516-440-2044;11407;-73,8059;40,6913;1;4659
51;3714;27 Hoard Terrace;Jersey City;NJ;201-823-3297;07305;-74,089;40,702;2;3906
52;3795;757 Algoma Hill;Gulfport;MS;228-805-0437;39505;-89,0684;30,4158;2;4993
53;2876;68 Vidon Terrace;Minneapolis;MN;651-274-2904;55417;-93,2361;44,9054;1;2419
54;2000;3 Katie Junction;Tuscaloosa;AL;205-274-1513;35487;-87,5859;33,3072;1;524
55;3749;36 Hoard Pass;Washington;DC;202-902-7759;20436;-77,0211;38,8959;1;4931
56;2609;5210 School Junction;Greensboro;NC;336-173-2812;27415;-80,0244;36,0807;2;4585
57;3113;1647 Northland Pass;El Paso;TX;915-321-6254;79989;-106,3;31,6948;1;1311
58;3367;95632 Calypso Drive;Gulfport;MS;228-698-4937;39505;-89,0684;30,4158;1;3404
59;2488;9778 Fuller Avenue;Austin;TX;512-238-7458;78783;-97,7713;30,3264;2;2031
60;1822;3038 Sachtjen Drive;Lexington;KY;859-991-7338;40586;-84,4715;38,0283;1;1955
61;3854;6662 Shoshone Circle;Greensboro;NC;910-276-7271;27455;-79,806;36,1824;1;2282
62;2457;54 Dawn Road;Cleveland;OH;440-762-5971;44177;-81,6728;41,6857;1;537
63;2747;2568 Mcguire Terrace;Lubbock;TX;806-741-6291;79415;-101,876;33,6021;1;1657
64;2954;3 Lake View Plaza;Columbus;OH;740-382-1882;43240;-82,9817;40,1454;1;1682
65;2134;0068 Basil Trail;Grand Forks;ND;701-278-5366;58207;-97,3944;47,9335;2;987
66;2665;5840 Granby Crossing;Macon;GA;478-529-0864;31210;-83,7455;32,8926;1;4900
67;2596;7005 David Court;Midland;TX;432-353-9944;79705;-102,0915;32,0295;2;1930
68;3451;627 Little Fleur Plaza;San Diego;CA;619-234-3215;92105;-117,0947;32,7423;2;4946
69;1819;46 Rigney Point;Dallas;TX;214-141-3389;75358;-96,7652;32,7942;1;3888
70;1866;3 Monument Point;Inglewood;CA;310-513-6283;90310;-118,2987;33,7866;2;1443
71;2139;22360 Dixon Street;Humble;TX;713-133-7617;77346;-95,1728;30,0042;1;4983
72;1886;5540 Linden Plaza;El Paso;TX;915-991-6965;88530;-106,3;31,6948;2;840
73;2298;99 Fairview Alley;Memphis;TN;901-348-9072;38181;-89,9715;35,2017;2;292
74;2769;38 Glacier Hill Junction;Sparks;NV;775-827-4980;89436;-119,7081;39,6269;2;789
75;2624;656 Orin Crossing;Saint Louis;MO;314-254-5718;63136;-90,27;38,7196;1;4651
76;2767;2094 Anthes Road;Portland;OR;503-292-0784;97229;-122,8276;45,5483;1;4640
77;3326;0 Sage Pass;Maple Plain;MN;952-343-0464;55579;-93,4719;45,0159;2;4566
78;3534;065 Sugar Way;Cleveland;OH;216-686-2879;44118;-81,5516;41,5008;2;2437
79;2427;3 Twin Pines Plaza;Fort Wayne;IN;260-278-4883;46857;-85,0707;41,0938;1;3562
80;2512;811 Browning Alley;Littleton;CO;303-850-4103;80161;-104,4083;39,7388;1;4632
81;2538;459 Hermina Place;Schaumburg;IL;224-670-5349;60193;-88,0935;42,0144;1;2637
82;2245;09 Green Pass;Lincoln;NE;402-288-7782;68510;-96,6545;40,8063;1;2165
83;2875;8 Corscot Street;Cleveland;OH;440-314-8931;44130;-81,7964;41,3826;2;2126
84;2423;6496 Everett Drive;Brooklyn;NY;347-874-2412;11241;-73,945;40,6451;2;4851
85;3270;752 Hudson Hill;San Antonio;TX;210-228-8635;78285;-98,4616;29,4375;1;1292
86;1393;850 Sutherland Park;Des Moines;IA;515-338-3729;50393;-93,5722;41,6727;2;1460
87;3600;38318 Rigney Way;Wichita;KS;316-119-4146;67236;-97,2871;37,5422;2;1968
88;2335;6678 Ridgeway Avenue;Washington;DC;202-586-4356;20470;-77,0146;38,8933;2;695
89;2062;5342 Corben Trail;Pompano Beach;FL;754-320-5354;33075;-80,4483;26,1457;2;1001
90;1501;9673 Eastlawn Center;San Antonio;TX;210-513-3128;78285;-98,4616;29,4375;2;3833
91;1289;624 Briar Crest Parkway;New York City;NY;718-467-2837;10270;-74,0082;40,7069;1;4784
92;2747;3481 Stoughton Trail;Sparks;NV;775-428-1648;89436;-119,7081;39,6269;1;1453
93;3999;487 Maple Wood Point;Pittsburgh;PA;412-187-1280;15279;-80,0248;40,4344;2;5000
94;3464;0 Ronald Regan Crossing;Saint Augustine;FL;904-872-4629;32092;-81,5264;29,9475;2;2774
95;2053;4113 Vermont Court;Minneapolis;MN;612-499-2446;55458;-93,4719;45,0159;2;897
96;1672;25397 Cody Pass;Los Angeles;CA;310-595-6308;90005;-118,3012;34,0585;2;4052
97;3750;778 Forster Plaza;Minneapolis;MN;612-206-4992;55470;-93,4719;45,0159;2;4062
98;3781;788 Raven Plaza;Sunnyvale;CA;408-861-1868;94089;-122,0006;37,3983;2;4758
99;2072;0 Bay Crossing;Phoenix;AZ;480-399-9774;85045;-112,1226;33,3022;1;4709
100;2020;923 Canary Drive;Sacramento;CA;916-349-2759;94250;-121,4444;38,3774;2;2986
101;2006;99631 Meadow Vale Court;El Paso;TX;915-283-9748;88589;-106,3;31,6948;2;1342
102;1801;29 Granby Place;Lubbock;TX;806-708-5852;79452;-101,8213;33,61;1;711
103;1357;24508 Sycamore Point;Bakersfield;CA;661-982-2946;93311;-119,1056;35,3039;1;2331
104;1355;9826 Autumn Leaf Center;Oakland;CA;510-467-1634;94660;-121,9215;37,6802;2;364
105;1907;47573 Debs Lane;Minneapolis;MN;612-361-4444;55487;-93,4719;45,0159;1;1521
106;2038;563 Chive Street;Boise;ID;208-324-0437;83727;-116,244;43,4599;2;4051
107;2994;55 Scoville Pass;Naples;FL;239-232-9143;34108;-81,8071;26,2416;1;7
108;2067;4153 Ridgeway Point;Los Angeles;CA;213-316-6229;90035;-118,3806;34,0531;1;2000
109;2820;1921 Esch Way;Austin;TX;512-459-5554;78783;-97,7713;30,3264;1;2348
110;1229;6419 Vahlen Park;Pompano Beach;FL;754-359-1992;33075;-80,4483;26,1457;1;1741
111;3510;3197 Ryan Alley;Charleston;WV;304-941-2036;25331;-81,5547;38,2968;1;4370
112;3778;62 Sutteridge Avenue;Tampa;FL;813-330-7108;33686;-82,4388;27,872;1;1981
113;1511;705 Hintze Circle;Monticello;MN;763-620-1563;55590;-93,8881;45,2009;2;2994
114;1560;7 Carberry Terrace;Fayetteville;NC;910-335-7382;28314;-79,008;35,0583;2;2431
115;2046;3638 Duke Court;Brooklyn;NY;212-679-3265;11254;-73,945;40,6451;1;4970
116;2375;01093 Harper Road;San Diego;CA;858-141-6281;92127;-117,0856;33,0279;1;2585
117;2481;468 Corben Crossing;Memphis;TN;901-593-7999;38114;-89,9825;35,0981;2;341
118;1262;6 Spenser Avenue;West Palm Beach;FL;561-275-5007;33405;-80,0582;26,67;1;1114
119;1907;0 South Drive;Jamaica;NY;917-381-3086;11436;-73,7966;40,6763;1;1410
120;2766;3 International Crossing;Bakersfield;CA;661-926-8610;93399;-119,0679;35,4369;1;448
121;3321;808 Anderson Hill;Buffalo;NY;716-505-2869;14225;-78,7481;42,9255;2;4396
122;2356;8045 Clarendon Place;Saint Petersburg;FL;727-828-7640;33742;-82,7248;27,8918;2;68
123;2460;819 Continental Place;Arlington;VA;571-120-3818;22225;-77,113;38,8808;1;3064
124;2394;94 Eastwood Crossing;Oklahoma City;OK;405-785-7334;73114;-97,5257;35,5704;2;3989
125;1344;9461 Tennyson Avenue;El Paso;TX;915-257-5987;79950;-106,3;31,6948;2;2963
126;1562;2 Eastwood Parkway;El Paso;TX;915-301-2364;88519;-106,3;31,6948;1;1566
127;3844;4641 Nancy Center;Washington;DC;202-101-9120;20067;-77,0146;38,8933;1;4896
128;1638;9368 Kipling Drive;Chattanooga;TN;423-505-6930;37405;-85,3082;35,0768;2;3867
129;2126;161 Luster Junction;Olympia;WA;253-452-3945;98516;-122,7794;47,1126;1;4385
130;1484;1 Ridgeway Circle;Elizabeth;NJ;908-105-4130;07208;-74,2239;40,6747;1;4141
131;2107;8 Stuart Park;Chicago;IL;312-185-9459;60686;-87,6378;41,8756;2;1901
132;3634;797 Farragut Place;Wichita;KS;316-787-0628;67215;-97,425;37,6333;2;1487
133;2116;757 Bunker Hill Trail;Glendale;CA;818-253-7256;91210;-118,2987;33,7866;2;685
134;2390;9019 Delaware Drive;Rochester;NY;585-525-6093;14604;-77,608;43,1577;1;3750
135;3700;91 Shasta Way;Anaheim;CA;714-625-1234;92825;-117,9132;33,8356;2;3603
136;1383;6 Coleman Crossing;Portland;OR;503-291-2370;97216;-122,5569;45,5137;2;241
137;1298;98459 Raven Road;Chicago;IL;312-417-5447;60609;-87,6533;41,8097;2;1277
138;1694;00 Loeprich Hill;Littleton;CO;303-766-4491;80161;-104,4083;39,7388;1;832
139;3829;8761 Forest Run Terrace;Irving;TX;469-736-5974;75062;-96,974;32,8479;2;2156
140;1399;2328 Melby Pass;Houston;TX;713-653-5660;77080;-95,523;29,8159;1;1728
141;3793;02 Jana Court;New York City;NY;212-139-6392;10131;-73,9772;40,7808;2;96
142;1793;2 Dennis Point;Ann Arbor;MI;734-846-5346;48107;-83,8366;42,2535;2;147
143;1840;855 Manley Plaza;Phoenix;AZ;520-639-9079;85025;-111,7236;33,4226;2;501
144;2186;13 Burrows Circle;Tucson;AZ;520-205-6490;85748;-110,7758;32,215;1;4173
145;3309;9 Thompson Lane;Saint Louis;MO;314-770-4130;63167;-90,4271;38,6383;1;442
146;3355;45448 Veith Way;Denver;CO;720-926-6905;80228;-105,156;39,6888;1;2215
147;3580;2230 Anhalt Hill;Las Vegas;NV;702-479-4317;89120;-115,0885;36,0914;2;1365
148;2588;663 Muir Parkway;Saint Louis;MO;314-792-9172;63196;-90,2435;38,6531;1;3986
149;2042;1135 Lakeland Plaza;Fullerton;CA;714-144-7734;92835;-117,9063;33,8994;1;2672
150;3564;0172 Oriole Road;San Francisco;CA;415-944-7178;94169;-122,7278;37,7848;2;1306
151;3428;30 Lukken Road;Charleston;WV;304-869-4146;25362;-81,5547;38,2968;2;2589
152;2413;13 Eastlawn Avenue;Kansas City;KS;913-787-3767;66105;-94,6356;39,085;2;2294
153;2551;70 Darwin Avenue;Yonkers;NY;914-130-3693;10705;-73,895;40,9177;2;2583
154;3257;606 Dawn Terrace;Los Angeles;CA;626-338-1191;90025;-118,4487;34,0447;1;2124
155;1938;69729 Mccormick Circle;Albuquerque;NM;505-677-1903;87140;-106,6729;35,0443;1;4360
156;2021;1 Barnett Junction;Young America;MN;952-784-2182;55557;-93,7665;44,8055;1;489
157;1375;1 Basil Avenue;New Orleans;LA;504-472-1571;70142;-89,8826;30,033;2;4103
158;3041;17 Sauthoff Hill;Anaheim;CA;714-586-7750;92825;-117,9132;33,8356;1;4549
159;1822;49 Arizona Junction;Orlando;FL;407-157-7600;32830;-81,569;28,3822;2;1105
160;2270;245 Lawn Point;Los Angeles;CA;213-486-9024;90081;-118,2987;33,7866;1;4300
161;2240;98292 Northridge Terrace;Tucson;AZ;520-537-2142;85732;-110,7122;32,0848;1;4710
162;2798;8 Burrows Pass;Winston Salem;NC;336-953-2739;27150;-80,2073;36,0275;1;1419
163;3343;5 Trailsway Crossing;Richmond;VA;804-589-2467;23272;-77,4932;37,5242;1;3838
164;1832;024 Pennsylvania Street;Fresno;CA;559-337-2471;93750;-119,6397;36,7464;1;1459
165;2587;7 Dixon Lane;Augusta;GA;706-428-2049;30919;-82,091;33,386;2;334
166;2721;3 Maryland Avenue;Jacksonville;FL;904-579-9572;32230;-81,6831;30,3449;1;2474
167;1765;5574 Barby Street;Huntsville;AL;256-466-7497;35805;-86,6165;34,7059;2;2837
168;2050;65926 Sommers Drive;Midland;TX;432-530-2961;79705;-102,0915;32,0295;1;869
169;1956;9 Carey Center;New York City;NY;212-574-8479;10184;-73,9772;40,7808;2;2418
170;3153;5641 Lyons Road;Hialeah;FL;305-670-3910;33018;-80,3889;25,9098;2;183
171;3803;823 Vermont Circle;Kansas City;MO;816-554-7818;64125;-94,4923;39,1042;2;1285
172;1762;1 Pennsylvania Alley;Columbus;OH;614-125-7938;43204;-83,078;39,9523;2;1961
173;3291;952 Kinsman Center;Phoenix;AZ;480-593-3143;85005;-112,1872;33,2765;2;4939
174;1489;01 Fair Oaks Way;Winston Salem;NC;336-628-1460;27105;-80,2376;36,144;1;491
175;3915;40437 Texas Park;San Antonio;TX;210-809-2704;78205;-98,4925;29,4237;2;4254
176;3983;80 Macpherson Park;Wilkes Barre;PA;570-889-7730;18763;-75,8801;41,2722;1;915
177;3240;0 Mcguire Plaza;Syracuse;NY;315-200-1188;13205;-76,1452;43,0123;2;108
178;3281;4428 Ronald Regan Parkway;Knoxville;TN;865-477-7297;37931;-84,1201;35,9924;2;3131
179;1572;81492 Fallview Circle;Baton Rouge;LA;225-713-4502;70810;-91,0919;30,3633;2;995
180;1423;8 7th Center;Van Nuys;CA;310-454-2555;91406;-118,4868;34,2006;2;4643
181;2251;242 Tony Way;Lehigh Acres;FL;863-758-7308;33972;-81,6167;26,6492;1;1490
182;2089;80135 Red Cloud Terrace;Tacoma;WA;253-186-8463;98447;-122,4434;47,1441;1;1520
183;1800;1046 Hudson Court;Honolulu;HI;808-684-3381;96835;-157,8294;21,3278;1;3130
184;3856;3 Comanche Way;Memphis;TN;901-869-6793;38143;-89,9715;35,2017;1;1563
185;2181;4852 Maryland Drive;Huntsville;AL;256-197-7725;35895;-86,5229;34,734;1;1350
186;1543;31 Morningstar Crossing;San Francisco;CA;415-981-1144;94142;-122,7278;37,7848;2;283
187;3873;752 Glacier Hill Place;Worcester;MA;508-966-0181;01605;-71,7888;42,2894;1;1577
188;3398;975 Namekagon Park;Atlanta;GA;770-450-0223;30316;-84,3339;33,7217;1;1388
189;1838;4 Shelley Road;Sacramento;CA;916-572-5349;94207;-121,4444;38,3774;2;4857
190;3055;8 Marquette Junction;Sacramento;CA;916-331-5879;94245;-121,4444;38,3774;2;4136
191;2971;3992 Katie Trail;Nashville;TN;615-889-9366;37210;-86,741;36,1379;2;4385
192;2820;90 Ohio Lane;Winter Haven;FL;407-584-7935;33884;-81,6736;27,981;2;3856
193;3366;58471 Sheridan Parkway;Birmingham;AL;205-211-7410;35254;-86,9292;33,5446;1;517
194;3638;218 Portage Street;Fresno;CA;559-157-4159;93715;-119,6397;36,7464;2;3616
195;2734;21 Bartelt Circle;Orlando;FL;407-999-1612;32868;-81,2608;28,5663;1;944
196;3692;02632 Sunnyside Point;Montgomery;AL;334-778-0494;36104;-86,3081;32,373;1;1258
197;1477;990 Pennsylvania Trail;Jacksonville;FL;904-866-0972;32277;-81,5864;30,3704;2;1026
198;2925;82815 Anniversary Pass;Santa Barbara;CA;805-298-3669;93111;-119,8025;34,4453;2;466
199;3863;31637 Hoepker Point;Pasadena;CA;626-308-8159;91131;-118,2987;33,7866;2;3487
200;1824;28 Arapahoe Point;Norfolk;VA;757-329-3012;23504;-76,2686;36,8586;1;1685
201;1235;948 Sutteridge Avenue;Huntington;WV;304-568-4145;25726;-82,2774;38,4134;2;2023
202;2413;27 Division Avenue;Columbia;SC;803-698-3328;29225;-80,9708;34,006;2;1385
203;2404;420 Cascade Plaza;Houston;TX;832-457-2376;77095;-95,6481;29,8941;2;1931
204;3626;069 Green Alley;Raleigh;NC;919-811-1372;27610;-78,6008;35,7667;1;4350
205;1362;9 Clarendon Street;Crawfordsville;IN;765-423-9807;47937;-86,8936;40,04;2;1785
206;3889;78020 Magdeline Plaza;Norfolk;VA;757-314-2546;23551;-76,2397;36,9312;2;2624
207;1303;7 Carioca Avenue;Philadelphia;PA;215-152-2584;19184;-75,1179;40,0018;1;4223
208;2976;2 Lerdahl Avenue;Greensboro;NC;336-685-0667;27499;-80,0244;36,0807;1;3417
209;1527;96 Melvin Road;Beaumont;TX;936-246-0717;77705;-94,1157;30,0211;1;54
210;3841;09321 Karstens Court;Tempe;AZ;602-644-1042;85284;-111,9197;33,3363;1;4952
211;1387;25928 Farmco Crossing;Corpus Christi;TX;361-499-6444;78426;-97,4632;27,777;1;4081
212;2675;7 Oxford Street;Lakewood;WA;253-560-4033;98498;-122,5485;47,1591;1;2713
213;2478;26 International Alley;Knoxville;TN;865-234-7747;37919;-84,0015;35,9244;2;180
214;1352;926 Bashford Place;Chicago;IL;312-212-3020;60624;-87,7223;41,8804;1;377
215;2154;621 Anzinger Center;Pittsburgh;PA;412-973-7482;15261;-80,0248;40,4344;2;1255
216;3325;37040 Holmberg Pass;Albuquerque;NM;505-380-9057;87201;-106,6729;35,0443;1;4765
217;1580;104 Forest Run Center;Seattle;WA;206-789-2720;98115;-122,2968;47,6849;1;3859
218;3518;5171 Weeping Birch Road;Homestead;FL;786-814-2127;33034;-80,6246;25,2846;2;1084
219;1540;973 Cardinal Street;Vancouver;WA;360-865-4713;98664;-122,5767;45,6231;1;865
220;1766;9541 Lyons Place;Houston;TX;281-142-5121;77070;-95,5803;29,9781;2;1400
221;1982;609 Vermont Junction;Buffalo;NY;716-469-4814;14233;-78,8871;42,7684;1;2005
222;1575;66 Longview Drive;Silver Spring;MD;240-301-9924;20918;-77,2076;39,144;1;4180
223;1802;26 Pennsylvania Junction;Salt Lake City;UT;801-469-0544;84145;-111,9083;40,6681;1;2786
224;3043;7898 Hovde Point;Montgomery;AL;334-885-3841;36195;-86,2843;32,3544;2;3155
225;3735;36182 Farmco Trail;Marietta;GA;770-915-8380;30066;-84,5038;34,0378;2;3795
226;1491;27 Merry Crossing;Miami;FL;305-755-6656;33175;-80,4068;25,7341;2;4186
227;3650;3 Farmco Park;Anderson;SC;864-817-8659;29625;-82,7087;34,5271;2;1973
228;3087;4 Vermont Road;Fort Myers;FL;239-275-3396;33913;-81,7065;26,5228;1;7
229;1928;7 Blue Bill Park Crossing;Memphis;TN;901-116-4360;38181;-89,9715;35,2017;1;652
230;1571;4 Sherman Way;Macon;GA;478-265-4403;31296;-83,6913;32,8067;1;4544
231;3909;7169 Myrtle Trail;College Station;TX;979-653-7753;77844;-96,341;30,6521;2;1367
232;3115;2 Scott Circle;Spokane;WA;509-132-3975;99215;-117,4317;47,6536;2;3076
233;3453;09892 Westerfield Park;San Antonio;TX;210-316-8879;78240;-98,6006;29,5189;2;417
234;3328;93 Brown Circle;Macon;GA;478-153-5676;31210;-83,7455;32,8926;2;3446
235;3119;709 Nelson Avenue;Mesa;AZ;602-197-3385;85205;-111,7129;33,4368;2;3417
236;2884;4 Melvin Court;New Orleans;LA;504-875-5704;70124;-90,1094;30,0071;1;3379
237;3341;581 Carioca Park;Washington;DC;202-292-0011;20456;-77,0401;38,8981;2;3046
238;3644;81159 Loomis Drive;Oklahoma City;OK;405-141-4329;73157;-97,4075;35,5514;2;2617
239;2554;97494 Doe Crossing Trail;Winston Salem;NC;336-239-5225;27150;-80,2073;36,0275;1;4172
240;1517;36 Dennis Park;Cincinnati;OH;513-814-4589;45208;-84,4355;39,1361;1;1527
241;3173;84779 Shopko Crossing;Louisville;KY;502-539-1618;40210;-85,7905;38,2306;1;845
242;3784;45 Coleman Road;Harrisburg;PA;717-233-3123;17126;-76,88;40,2618;2;1357
243;2138;05 Nelson Street;Madison;WI;608-202-1382;53710;-89,4239;43,0696;1;2751
244;2061;1613 Towne Place;Cleveland;OH;216-514-4661;44118;-81,5516;41,5008;2;18
245;1324;76680 Loeprich Pass;Louisville;KY;502-522-7463;40280;-85,6853;38,2467;1;3947
246;3678;5810 Red Cloud Hill;New Castle;PA;724-208-8956;16107;-80,3084;40,9897;2;2037
247;3123;8193 Londonderry Drive;Richmond;CA;510-630-2876;94807;-121,9554;37,7772;1;2143
248;1617;854 Scofield Street;Albuquerque;NM;505-343-3855;87121;-106,7269;35,0512;1;1644
249;1547;858 Reinke Crossing;Orlando;FL;954-681-6976;32825;-81,2571;28,5469;2;4897
250;3254;2849 Stephen Court;Ventura;CA;805-979-8615;93005;-119,1343;34,0324;1;949
251;1576;55153 Scofield Terrace;Denver;CO;303-494-2932;80262;-104,9384;39,731;1;4878
252;1877;78406 Florence Lane;Sioux Falls;SD;605-715-9838;57105;-96,7341;43,524;2;3809
253;2292;67619 Maple Wood Hill;Colorado Springs;CO;719-782-2392;80920;-104,767;38,9497;2;4992
254;3121;94746 Pierstorff Parkway;Oklahoma City;OK;405-644-0742;73147;-97,4075;35,5514;1;4729
255;1642;79883 Goodland Lane;Denver;CO;303-910-6095;80204;-105,0259;39,734;2;2073
256;3759;3 Prentice Place;Sacramento;CA;916-257-6300;94286;-121,4444;38,3774;1;2431
257;2729;8 Westerfield Drive;San Diego;CA;619-592-8564;92176;-116,846;33,0169;2;1771
258;2392;6894 Lake View Place;Muncie;IN;765-969-7039;47306;-85,4082;40,2023;1;4068
259;3920;914 Hooker Plaza;Seattle;WA;206-926-6895;98175;-122,3004;47,7161;2;872
260;2234;91703 Fallview Place;Scottsdale;AZ;602-998-3559;85255;-111,8892;33,6968;1;99
261;2685;060 Londonderry Plaza;Knoxville;TN;865-482-8791;37995;-83,9622;35,9901;2;660
262;1811;1764 Sutteridge Crossing;Johnstown;PA;814-547-3637;15906;-78,9383;40,3522;2;2591
263;3276;77303 Erie Point;Lancaster;CA;661-568-5490;93584;-118,2987;33,7866;2;3717
264;1774;44563 Dawn Drive;Reading;PA;484-365-4875;19605;-75,9328;40,3886;2;773
265;2220;24515 Upham Alley;Anchorage;AK;907-351-9402;99599;-149,8804;61,1872;2;1499
266;3314;37 Lyons Trail;Littleton;CO;303-765-9242;80126;-104,9691;39,5437;2;68
267;1821;801 Loftsgordon Junction;Albuquerque;NM;505-402-3137;87115;-106,5461;35,0549;1;3626
268;1229;1 Raven Street;San Jose;CA;408-152-4439;95133;-121,856;37,3729;2;3098
269;1905;75 Novick Circle;Santa Fe;NM;505-352-2310;87592;-105,9818;35,5212;1;248
270;1741;06 Independence Circle;Lincoln;NE;402-435-0770;68510;-96,6545;40,8063;1;3170
271;3860;6600 Lotheville Place;Atlanta;GA;770-624-6822;30311;-84,4702;33,723;2;4195
272;2342;97227 7th Lane;New Orleans;LA;504-122-5989;70149;-89,8826;30,033;1;1742
273;2400;78 1st Court;Cincinnati;OH;513-702-4825;45249;-84,3307;39,2692;1;3725
274;1854;8954 Del Mar Street;Pensacola;FL;850-732-2959;32595;-87,2758;30,6143;2;1253
275;1917;3 Grasskamp Point;Pittsburgh;PA;412-357-5352;15240;-80,0248;40,4344;1;2760
276;1538;4367 Del Mar Pass;Saint Joseph;MO;816-187-8889;64504;-94,8677;39,7076;2;966
277;3847;4165 Blue Bill Park Alley;Springfield;MO;417-354-4901;65898;-93,2951;37,1803;2;4448
278;3378;8 Del Mar Court;Stockton;CA;209-557-6819;95205;-121,2624;37,9625;2;1897
